project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
Vasilikos power station,ST2,gas_power_plant,Electricity Authority of Cyprus,Electricity Authority of Cyprus,Cyprus,operating,2002,130,,MW,point,34.727,33.29,,https://www.gem.wiki/Vasilikos_power_station,,operating
Vasilikos power station,ST3,gas_power_plant,Electricity Authority of Cyprus,Electricity Authority of Cyprus,Cyprus,operating,2005,130,,MW,point,34.727,33.29,,https://www.gem.wiki/Vasilikos_power_station,,operating
Vaskiluotos power station,GT1,gas_power_plant,Vaasan Voima Oy,Vaasan Voima Oy,Finland,operating,1972,162,,MW,point,63.09,21.553,,https://www.gem.wiki/Vaskiluotos_power_station,,operating
Vazzio power station,GT1,gas_power_plant,EDF Production Electrique Insulaire SAS,Electricité de France SA,France,operating,2007,20,,MW,point,41.932,8.7204,,https://www.gem.wiki/Vazzio_power_station,,operating
Vazzio power station,IC1,gas_power_plant,EDF Production Electrique Insulaire SAS,Electricité de France SA,France,operating,1981,133,,MW,point,41.932,8.7204,,https://www.gem.wiki/Vazzio_power_station,,operating
Vazzio power station,IC2,gas_power_plant,EDF Production Electrique Insulaire SAS,Electricité de France SA,France,pre-construction,2026,125,,MW,point,41.932,8.7204,,https://www.gem.wiki/Vazzio_power_station,,pre-construction
Velsen Mill power station,1,gas_power_plant,Papierfabrik Van Gelder Zone,Andlinger & Company,Netherlands,operating,1984,20,,MW,point,52.466,4.6362,,https://www.gem.wiki/Velsen_Mill_power_station,,operating
Velsen power station,24,gas_power_plant,Vattenfall AB,Vattenfall AB,Netherlands,operating,,460,,MW,point,52.472,4.6329,,https://www.gem.wiki/Velsen_power_station,,operating
Velsen power station,25,gas_power_plant,Vattenfall AB,Vattenfall AB,Netherlands,operating,,360,,MW,point,52.472,4.6329,,https://www.gem.wiki/Velsen_power_station,,operating
Veolia Ploiesti power station,GT1,gas_power_plant,Veolia Environnement SA,Veolia Environnement SA,Romania,operating,2010,25,,MW,point,44.934,26.025,,https://www.gem.wiki/Veolia_Ploiesti_power_station,,operating
Verzuolo power station,1,gas_power_plant,GEVER SpA,Burgo Group SpA,Italy,operating,2002,140,,MW,point,44.595,7.4858,,https://www.gem.wiki/Verzuolo_power_station,,operating
Viana Mill power station,CC1,gas_power_plant,DS Smith Viana,DS Smith PLC,Portugal,operating,2010,40,,MW,point,41.7,-8.715,,https://www.gem.wiki/Viana_Mill_power_station,,operating
Viana Mill power station,GT1,gas_power_plant,DS Smith Viana,DS Smith PLC,Portugal,operating,2008,31,,MW,point,41.7,-8.715,,https://www.gem.wiki/Viana_Mill_power_station,,operating
Viborg power station,1,gas_power_plant,Energi Viborg AS,Energi Viborg AS,Denmark,operating,1996,55,,MW,point,56.474,9.4126,,https://www.gem.wiki/Viborg_power_station,,operating
Viking power station,1,gas_power_plant,Whitetower Energy Ltd,Rockland Capital,United Kingdom,operating,1997,50,,MW,point,54.607,-1.2027,,https://www.gem.wiki/Viking_power_station,,operating
Vila Ibiza power station,1,gas_power_plant,Endesa SA,Endesa SA,Spain,operating,2012,25,,MW,point,38.912,1.4267,,https://www.gem.wiki/Vila_Ibiza_power_station,,operating
Vila Ibiza power station,2,gas_power_plant,Endesa SA,Endesa SA,Spain,operating,2013,25,,MW,point,38.912,1.4267,,https://www.gem.wiki/Vila_Ibiza_power_station,,operating
Vila Ibiza power station,3,gas_power_plant,Endesa SA,Endesa SA,Spain,operating,2013,25,,MW,point,38.912,1.4267,,https://www.gem.wiki/Vila_Ibiza_power_station,,operating
Vilnius Third cogeneration power station,1,gas_power_plant,Ignitis,Ignitis,Lithuania,retired,1983,180,,MW,point,54.664,25.232,,https://www.gem.wiki/Vilnius_Third_cogeneration_power_station,,retired
Vilnius Third cogeneration power station,2,gas_power_plant,Ignitis,Ignitis,Lithuania,retired,1983,180,,MW,point,54.664,25.232,,https://www.gem.wiki/Vilnius_Third_cogeneration_power_station,,retired
Vilvoorde power station,1,gas_power_plant,Electrabel NV/SA,ENGIE SA,Belgium,operating,2001,255,,MW,point,50.941,4.4246,,https://www.gem.wiki/Vilvoorde_power_station,,operating
Vilvoorde power station,2,gas_power_plant,Electrabel NV/SA,ENGIE SA,Belgium,pre-construction,2025,870,,MW,point,50.941,4.4246,,https://www.gem.wiki/Vilvoorde_power_station,,pre-construction
Vitry-Arrighi power station,1,gas_power_plant,Electricité de France SA,Electricité de France SA,France,operating,1997,125,,MW,point,48.786,2.4188,,https://www.gem.wiki/Vitry-Arrighi_power_station,,operating
Vitry-Arrighi power station,2,gas_power_plant,Electricité de France SA,Electricité de France SA,France,operating,2007,125,,MW,point,48.786,2.4188,,https://www.gem.wiki/Vitry-Arrighi_power_station,,operating
Vitry-sur-Seine cogeneration power station,1,gas_power_plant,COGETHERM; Paris Urban Heating Company SA,City of Paris; ENGIE SA; Electricité de France SA,France,operating,2001,125,,MW,point,48.789,2.4173,,https://www.gem.wiki/Vitry-sur-Seine_cogeneration_power_station,,operating
Vitória power station,Phase 1&2,gas_power_plant,Empresa de Electricidade da Madeira SA,Empresa de Electricidade da Madeira SA,Portugal,operating,1980,118,,MW,point,32.648,-16.968,,https://www.gem.wiki/Vitória_power_station,,operating
Vitória power station,Phase 3,gas_power_plant,Empresa de Electricidade da Madeira SA,Empresa de Electricidade da Madeira SA,Portugal,operating,2015,54.5,,MW,point,32.648,-16.968,,https://www.gem.wiki/Vitória_power_station,,operating
Vlora power station,1,gas_power_plant,Korporata Elektroenergjitike Shqiptare,Korporata Elektroenergjitike Shqiptare,Albania,pre-construction,2011,97,,MW,point,40.49,19.435,,https://www.gem.wiki/Vlora_power_station,,pre-construction
Voghera power station,1,gas_power_plant,Engie Italia SpA,ENGIE SA,Italy,operating,2005,381,,MW,point,45.03,8.9723,,https://www.gem.wiki/Voghera_power_station,,operating
Volkswagen Werk Kassel power station,1,gas_power_plant,Volkswagen AG,Volkswagen AG,Germany,operating,2011,81,,MW,point,51.253,9.4379,,https://www.gem.wiki/Volkswagen_Werk_Kassel_power_station,,operating
Volta Testi power station,1,gas_power_plant,VOLTA SRL,Sacci SpA; TEI Energy SpA,Italy,operating,2010,59,,MW,point,43.585,11.31,,https://www.gem.wiki/Volta_Testi_power_station,,operating
Vuglegirska power station,5,gas_power_plant,Centerenergo PJSC,State Property Fund of Ukraine [78.00%]; other [22.00%],Ukraine,mothballed,1975,800,,MW,point,48.465,38.202,,https://www.gem.wiki/Vuglegirska_power_station,,mothballed_plus
Vuglegirska power station,6,gas_power_plant,Centerenergo PJSC,State Property Fund of Ukraine [78.00%]; other [22.00%],Ukraine,mothballed,1976,800,,MW,point,48.465,38.202,,https://www.gem.wiki/Vuglegirska_power_station,,mothballed_plus
Vuglegirska power station,7,gas_power_plant,Centerenergo PJSC,State Property Fund of Ukraine [78.00%]; other [22.00%],Ukraine,mothballed,1977,800,,MW,point,48.465,38.202,,https://www.gem.wiki/Vuglegirska_power_station,,mothballed_plus
Vuosaari power station,A,gas_power_plant,Helen Ltd,Helen Ltd,Finland,operating,1991,163,,MW,point,60.22,25.17,,https://www.gem.wiki/Vuosaari_power_station,,operating
Vuosaari power station,B,gas_power_plant,Helen Ltd,Helen Ltd,Finland,operating,1997,485,,MW,point,60.22,25.17,,https://www.gem.wiki/Vuosaari_power_station,,operating
Völklingen-Fenne power station,IC1-6,gas_power_plant,STEAG GmbH,Kommunale Beteiligungsgesellschaft GmbH & Co KG,Germany,operating,2021,24,,MW,point,49.249,6.8806,,https://gem.wiki/V%C3%B6lklingen-Fenne_power_station,,operating
Völklingen-Fenne power station,IC7-9,gas_power_plant,STEAG GmbH,Kommunale Beteiligungsgesellschaft GmbH & Co KG,Germany,pre-construction,2026,51.9,,MW,point,49.249,6.8806,,https://gem.wiki/V%C3%B6lklingen-Fenne_power_station,,pre-construction
Vřesová power station,1,gas_power_plant,SUAS Group,SUAS Group,Czech Republic,operating,1996,200,,MW,point,50.256,12.691,,https://www.gem.wiki/Vřesová_power_station,,operating
Vřesová power station,2,gas_power_plant,SUAS Group,SUAS Group,Czech Republic,operating,1996,200,,MW,point,50.256,12.691,,https://www.gem.wiki/Vřesová_power_station,,operating
Walheim power station,GT1,gas_power_plant,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,Germany,operating,1982,136,,MW,point,49.018,9.1577,,https://www.gem.wiki/Walheim_power_station,,operating
Wedel power station,CC1,gas_power_plant,Vattenfall Europe Power Management,Vattenfall AB,Germany,pre-construction,2024,440,,MW,point,53.567,9.7257,,https://www.gem.wiki/Wedel_power_station,,pre-construction
Wedel power station,GT1,gas_power_plant,Vattenfall Europe Power Management,Vattenfall AB,Germany,operating,1972,50.5,,MW,point,53.567,9.7257,,https://www.gem.wiki/Wedel_power_station,,operating
Wedel power station,GT2,gas_power_plant,Vattenfall Europe Power Management,Vattenfall AB,Germany,operating,1972,50.5,,MW,point,53.567,9.7257,,https://www.gem.wiki/Wedel_power_station,,operating
Weig Community power station,Block 2,gas_power_plant,Moritz J. Weig GmbH & Co KG,Moritz J. Weig GmbH & Co KG,Germany,operating,2013,63,,MW,point,50.321,7.2339,,https://www.gem.wiki/Weig_Community_power_station,,operating
Weisweiler power station,G_VGT,gas_power_plant,RWE Power AG,RWE AG,Germany,operating,2006,200,,MW,point,50.839,6.3211,,https://www.gem.wiki/Weisweiler_power_station,,operating
Weisweiler power station,H_VGT,gas_power_plant,RWE Power AG,RWE AG,Germany,operating,2006,200,,MW,point,50.839,6.3211,,https://www.gem.wiki/Weisweiler_power_station,,operating
Wels District Heating power station,1,gas_power_plant,Wels Strom GmbH,eww Gruppe,Austria,retired,2000,43,,MW,point,48.152,14.008,,https://www.gem.wiki/Wels_District_Heating_power_station,,retired
Werk Düsseldorf power station,CC,gas_power_plant,Daimler AG,Daimler AG,Germany,operating,2012,24,,MW,point,51.255,6.7865,,https://www.gem.wiki/Werk_Düsseldorf_power_station,,operating
Werk Linz power station,Block 7,gas_power_plant,Voestalpine AG,Voestalpine AG,Austria,operating,1995,153,,MW,point,48.299,14.324,,https://www.gem.wiki/Werk_Linz_power_station,,operating
Werk Sachsen power station,1,gas_power_plant,Model Sachsen Papier GmbH,Model Group,Germany,operating,1993,47,,MW,point,51.466,12.592,,https://www.gem.wiki/Werk_Sachsen_power_station,,operating
West Burton power station,B1,gas_power_plant,EIG,EIG,United Kingdom,operating,2013,450,,MW,point,53.362,-0.80759,,https://www.gem.wiki/West_Burton_power_station,,operating
West Burton power station,B2,gas_power_plant,EIG,EIG,United Kingdom,operating,2013,460,,MW,point,53.362,-0.80759,,https://www.gem.wiki/West_Burton_power_station,,operating
