project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
Tawnaghmore power station,1,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,2003,52,,MW,point,54.193,-9.2204,,https://www.gem.wiki/Tawnaghmore_power_station,,operating
Tawnaghmore power station,2,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,2003,52,,MW,point,54.193,-9.2204,,https://www.gem.wiki/Tawnaghmore_power_station,,operating
Taylor's Lane GT power station,2,gas_power_plant,Uniper SE,Uniper SE,United Kingdom,operating,1979,72,,MW,point,51.546,-0.25731,,https://www.gem.wiki/Taylor%27s_Lane_GT_power_station,,operating
Taylor's Lane GT power station,3,gas_power_plant,Uniper SE,Uniper SE,United Kingdom,operating,1981,72,,MW,point,51.546,-0.25731,,https://www.gem.wiki/Taylor%27s_Lane_GT_power_station,,operating
Te-To Zagreb power station,C,gas_power_plant,HEP-Proizvodnja doo,Hrvatska elektroprivreda dd,Croatia,retired,1979,120,,MW,point,45.782,16.016,,https://www.gem.wiki/Te-To_Zagreb_power_station,,retired
Te-To Zagreb power station,K,gas_power_plant,HEP-Proizvodnja doo,Hrvatska elektroprivreda dd,Croatia,operating,2003,200,,MW,point,45.782,16.016,,https://www.gem.wiki/Te-To_Zagreb_power_station,,operating
Te-To Zagreb power station,L,gas_power_plant,HEP-Proizvodnja doo,Hrvatska elektroprivreda dd,Croatia,operating,2009,100,,MW,point,45.782,16.016,,https://www.gem.wiki/Te-To_Zagreb_power_station,,operating
Te-Tol power station,1,gas_power_plant,Janvo Podjetje Energetika Ljubljana,Javni Holding Ljubljana,Slovenia,construction,2023,110,,MW,point,46.058,14.545,,https://www.gem.wiki/Te-Tol_power_station,,construction_plus
Tees Combined-Cycle Power Plant,CC 1,gas_power_plant,Sembcorp Utilities UK Ltd,Sembcorp Industries Ltd,United Kingdom,shelved,2024,850,,MW,point,54.581,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant,,shelved
Tees Combined-Cycle Power Plant,CC 2,gas_power_plant,Sembcorp Utilities UK Ltd,Sembcorp Industries Ltd,United Kingdom,shelved,2024,850,,MW,point,54.581,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant,,shelved
